Title,Authors,Published,DOI,Published_In,Referenced_By
"MILU: A Customizable, Runtime-Optimized Higher Order Mutation Testing Tool for the Full C Language","Yue, Mark",2008-8,10.1109/TAIC-PART.2008.18,Testing: Academic & Industrial Conference - Practice and Research Techniques (taic part 2008),
"MILU: A customizable, runtime-optimized higher order mutation testing tool for the full C language","Jia, Y. and Harman, M.",2008,,Testing: Academic & Industrial Conference - Practice and Research Techniques (taic part 2008),GomezAbajo2020
Machine learning approach in mutation testing,"Strug, J. and Strug, B.",2012,,,Gopinath2017a
Making System User Interactive Tests Repeatable: When and What Should We Control?,"Zebao, Yalan, Myra B., Atif M., Zhen",2015-5,10.1109/ICSE.2015.28,2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,
Managing crowdsourced software testing: a case study based insight on the challenges of a crowdsourcing intermediary,"Zogaj, S. and Bretschneider, U. and Leimeister, J.M.",2014,,Journal of Business Economics,Rojas2017
Mdroid+: A mutation testing framework for android,"Moran, K. and Tufano, M. and Bernal-Cárdenas, C. and Linares-Vásquez, M. and Bavota, G. and Vendome, C. and Penta, M.Di and Poshyvanyk, D.",2018,,,EscobarVelasquez2019
Measuring effectiveness of mutant sets,"Gopinath, R. and Alipour, M.A. and Ahmed, I. and Jensen, C. and Groce, A.",2016,,"2016 IEEE Ninth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",Gopinath2017a
Measuring the cost of regression testing in practice: a study of Java projects using continuous integration,"Adriaan, Laura, Reid",2017-8-21,10.1145/3106237.3106288,Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering,
Metallaxis-FL: mutation-based fault localization,"Mike, Yves",2013-9-9,10.1002/stvr.1509,"Software Testing, Verification and Reliability",
"Milu: A customizable, runtime-optimized higher order mutation testing tool for the full C language","Jia, Y. and Harman, M.",2008,,Testing: Academic & Industrial Conference - Practice and Research Techniques (taic part 2008),McMinn2019
Mining unit test cases to synthesize API usage examples,"Mohammad, Konstantin, Mohammad Mehdi",2017-1-20,10.1002/smr.1841,Journal of Software: Evolution and Process,
Mirror adaptive random testing,"T.Y., F.-C., R.G., S.P.",2004-12,10.1016/j.infsof.2004.07.004,Information and Software Technology,
Mobile Application Testing: A Tutorial,"Jerry, Xiaoying, Wei-Tek, Tadahiro",2014-2,10.1109/MC.2013.445,Computer,
Model-Based Mutation Testing of an Industrial Measurement Device,"Bernhard K., Jakob, Elisabeth, Robert, Willibald, Rupert, Birgit Vera",2014,10.1007/978-3-319-09099-3_1,"Tests and Proofs, Lecture Notes in Computer Science",
Model-Based Testing of Reactive Systems,,2005,10.1007/b137241,Lecture Notes in Computer Science,
Model-based mutation testing of an industrial measurement device,"Aichernig, B.K. and Auer, J. and Jöbstl, E. and Korosec, R. and Krenn, W. and Schlick, R. and Schmidt, B.V.",2014,,"Tests and Proofs, Lecture Notes in Computer Science",GomezAbajo2020
Model-based testing in practice,"Dalal, S.R. and Jain, A. and Karunanithi, N. and Leaton, J.M. and Lott, C.M. and Patton, G.C. and Horowitz, B.M.",1999,,,Felbinger2017
Model-based tests for access control policies,"Pretschner, A. and Mouelhi, T. and Traon, Y.Le",2008,,"2008 International Conference on Software Testing, Verification, and Validation",Daoudagh2015
Modeling readability to improve unit tests,"Daka, E. and Campos, J. and Fraser, G. and Dorn, J. and Weimer, W.",2015,,Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering,Bowes2017
Momut: UML model-based mutation testing for UML,"Krenn, W. and Schlick, R. and Tiran, S. and Aichernig, B.K. and Jöbstl, E. and Brandl, H.",2015,,"2015 IEEE 8th International Conference on Software Testing, Verification and Validation (ICST)",GomezAbajo2020
MuCheck: an extensible tool for mutation testing of haskell programs,"Duc, Mohammad Amin, Rahul, Alex",2014,10.1145/2610384.2628052,Proceedings of the 2014 International Symposium on Software Testing and Analysis - ISSTA 2014,
MuJava: A mutation system for Java,"Ma, Y.-S. and Offutt, J. and Kwon, Y.-R.",2006,,,McMinn2019
MuJava: An Automated Class Mutation System,"Ma, Y.-S. and Offutt, J. and Kwon, Y.R.",2005,,"Software Testing, Verification and Reliability",RealesMateo2013
MuJava: An Automated Class Mutation System”,"Ma, Y.-S. and Offutt, J. and Kwon, Y.-R.",2005,,"Software Testing, Verification and Reliability",Godio2019
MuJava: An automated class mutation system,"Ma, Y.S. and Offutt, J. and Kwon, Y.R.",2005,,"Software Testing, Verification and Reliability",Zhang2012
MuJava: a mutation system for Java,"Ma, Y.-S. and Offutt, J. and Kwon, Y.-R.",2006,,,Daoudagh2015
MuJava: an automated class mutation system,"Yu-Seung, Jeff, Yong Rae",2005,10.1002/stvr.308,"Software Testing, Verification and Reliability",
MuTMuT: Efficient Exploration for Mutation Testing of Multithreaded Code,"Milos, Vilas, Darko",2010-4,10.1109/ICST.2010.33,"2010 Third International Conference on Software Testing, Verification and Validation",
MuVM: Higher Order Mutation Analysis Virtual Machine for C,"Susumu, Hiroaki, Kazunori, Shinichi",2016-4,10.1109/ICST.2016.18,"2016 IEEE International Conference on Software Testing, Verification and Validation (ICST)",
Mujava : An automated class mutation system,"Ma, Y. and Offutt, J. and Kwon, Y.R.",2005,,"Software Testing, Verification and Reliability",Daoudagh2015
Mujava: an automated class mutation system: Research articles,"Ma, Y.-S. and Offutt, J. and Kwon, Y.R.",2005,,,Aaltonen2010
Mull It Over: Mutation Testing Based on LLVM,"Alex, Stanislav",2018-4,10.1109/ICSTW.2018.00024,"2018 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",
Multi Objective Higher Order Mutation Testing with GP,"Langdon, W. and Harman, M. and Jia, Y.",2009,,Proceedings of the 11th Annual conference on Genetic and evolutionary computation - GECCO '09,RealesMateo2013
Multi Objective Higher Order Mutation Testing with Genetic Programming,"Langdon, W. and Harman, M. and Jia, Y.",2009,,2009 Testing: Academic and Industrial Conference - Practice and Research Techniques,RealesMateo2013
Multi objective higher order mutation testing with genetic programming,"Langdon, W.B. and Harman, M. and Jia, Y.",2009,,2009 Testing: Academic and Industrial Conference - Practice and Research Techniques,Zhang2013
Multithreaded java program test generation,"Edelstein, O. and Farchi, E. and Nir, Y. and Ratsaby, G. and Ur, S.",2002,,Proceedings of the 2001 joint ACM-ISCOPE conference on Java Grande  - JGI '01,Sherman2009
Mutant Subsumption Graphs,"Bob, Paul, Marcio E., Jeff, Lin",2014-3,10.1109/ICSTW.2014.20,"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation Workshops",
Mutant subsumption graphs,"Kurtz, B. and Ammann, P. and Delamaro, M.E. and Offutt, J. and Deng, L.",2014,,"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation Workshops",Lindstroem2016
Mutant unification for improved vectorization,"Mathur, A.P. and Krauser, E.W.",1988,,,Zhang2012
Mutating aspect-oriented models to test cross-cutting concerns,"Lindström, B. and Andler, S.F. and Offutt, J. and Pettersson, P. and Sundmark, D.",2015,,"2015 IEEE Eighth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",McMinn2019
Mutation 2000: Uniting the Orthogonal,"A. Jefferson, Roland H.",2001,10.1007/978-1-4757-5939-6_7,Mutation Testing for the New Century,
Mutation 2000: Uniting the Orthogonal”. English. In: Mutation Testing for the New Century,"Offutt, A. and Untch, R.",2001,,,Parsai2016
Mutation 2000: Uniting the orthogonal,"Offutt, A.J. and Untch, R.H.",2001,,Mutation Testing for the New Century,Gopinath2017a
"Mutation 2000: Uniting the orthogonal,” in Mutation testing for the new century","Offutt, A.J. and Untch, R.H.",2001,,,Lindstroem2016
Mutation Analysis Testing for Model Transformations,"Jean-Marie, Benoit, Yves",2006,10.1007/11787044_28,"Model Driven Architecture – Foundations and Applications, Lecture Notes in Computer Science",
Mutation Analysis Using Mutant Schemata,"Untch, R.H. and Offutt, A.J. and Harrold, M.J.",1993,,Proceedings of the 1993 international symposium on Software testing and analysis  - ISSTA '93,Inozemtseva2013
Mutation Analysis Using Program Schemata,"Untch, R. and Offutt, A. and Harrold, M.",1993-06,,,RealesMateo2013
Mutation Analysis of Program Test Data,"Budd, T.A.",1980,,,Just2014a
Mutation Analysis of Program Test Data”. AAI8025191,"Budd, T.",1980,,,Parsai2016
Mutation Analysis.,"Timothy A., Richard J., Richard A., Frederick G.",1979-4-1,10.21236/ADA068118,,
Mutation Analysis: An Industrial Experiment”,"Parsai, A. and Soetens, Q.D. and Demeyer, S.",2015,,,Parsai2016
Mutation Reduction Strategies Considered Harmful,"Rahul, Iftekhar, Mohammad Amin, Carlos, Alex",2017-9,10.1109/TR.2017.2705662,IEEE Transactions on Reliability,
Mutation Testing Advances: An Analysis and Survey,"Mike, Marinos, Jie, Yue, Yves Le, Mark",2019,10.1016/bs.adcom.2018.03.015,Advances in Computers,
Mutation Testing As a Safety Net for Test Code Refactoring”,"Parsai, A. and Murgia, A. and Soetens, Q.D. and Demeyer, S.",2015,,Scientific Workshop Proceedings of the XP2015,Parsai2016
Mutation Testing Cost Reduction Techniques: A Survey,"Polo, M. and Reales, P.",May/June 2010,,IEEE Software,RealesMateo2013
Mutation Testing Strategies: A Collateral Approach,"Papadakis, M. and Malevris, N. and Kintis, M.",2011-06,,Proceedings of the 5th International Conference on Software and Data Technologies,RealesMateo2013
Mutation Testing for Java Database Applications,"Chixiang, Phyllis",2009-4,10.1109/ICST.2009.43,2009 International Conference on Software Testing Verification and Validation,
Mutation Testing of Software Using a MIMD Computer,"Offutt, A.J. and Pargas, R.P. and Fichter, S.V. and Khambekar, P.K.",1992,,,Inozemtseva2013
Mutation analysis,"Acree, A.T. and Budd, T.A. and DeMillo, R.A. and Lipton, R.J. and Sayward, F.G.",1979,,,Zhang2012
Mutation analysis of program test data,"Budd, T.A.",1980,,,Gopinath2017a
Mutation analysis of program test data[ph. d. thesis,"Budd, T.A.",1980,,,Zhang2013
Mutation analysis of relational database schemas,"Wright, C.",2015,,,McMinn2019
Mutation analysis testing for model transformations,"Mottu, J.-M. and Baudry, B. and Traon, Y.L.",2006,,"Model Driven Architecture – Foundations and Applications, Lecture Notes in Computer Science",GomezAbajo2020
Mutation analysis using mutant schemata,"Roland H., A. Jefferson, Mary Jean",1993,10.1145/154183.154265,Proceedings of the 1993 international symposium on Software testing and analysis  - ISSTA '93,
Mutation analysis using program schemata,"Untch, R. and Offutt, A.J. and Harrold, M.J.",1993,,,Zhang2012
Mutation analysis vs. code coverage in automated assessment of students' testing skills,"Kalle, Petri, Otto",2010,10.1145/1869542.1869567,Proceedings of the ACM international conference companion on Object oriented programming systems languages and applications companion - SPLASH '10,
Mutation analysis vs. code coverage in automated assessment of students’ testing skills,"Aaltonen, K. and Ihantola, P. and Seppälä, O.",2010,,Proceedings of the ACM international conference companion on Object oriented programming systems languages and applications companion - SPLASH '10,Kracht2014
Mutation at System and Functional Levels,"Reales, P. and Polo, M. and Offutt, J.",2010-04,,"2010 Third International Conference on Software Testing, Verification, and Validation Workshops",RealesMateo2013
Mutation based test case generation via a path selection strategy,"Mike, Nicos",2012-9,10.1016/j.infsof.2012.02.004,Information and Software Technology,
Mutation clustering,"Hussain, S.",2008,,,Gopinath2017a
Mutation operators for JADE mobile agent systems,"Saifan, A.A. and Wahsheh, H.A.",2012,,Proceedings of the 3rd International Conference on Information and Communication Systems - ICICS '12,McMinn2019
Mutation operators for UML Class Diagrams,"Granda, M.F. and Condori-Fernández, N. and Vos, T.E.J. and Pastor, O.",2016,,,GomezAbajo2020
Mutation operators for cognitive agent programs,"Savarimuthu, S. and Winikoff, M.",2013,,,McMinn2019
Mutation operators for testing Android apps,"Deng, L. and Offutt, J. and Ammann, P. and Mirzaei, N.",2017,,Information and Software Technology,McMinn2019
Mutation operators for testing android apps,"Deng, L. and Offutt, J. and Ammann, P. and Mirzaei, N.",2017,,Information and Software Technology,EscobarVelasquez2019
Mutation testing as a safety net for test code refactoring,"Ali, Alessandro, Quinten David, Serge",2015-5-25,10.1145/2764979.2764987,Scientific Workshop Proceedings of the XP2015,
Mutation testing cost reduction by clustering overlapped mutants,"Ma, Y.-S. and Kim, S.-W.",2016,,Journal of Systems and Software,McMinn2019
Mutation testing cost reduction techniques: A survey,"Usaola, M.P. and Mateo, P.R.",2010-05,10.1109/MS.2010.79,IEEE Software,Tengeri2016
Mutation testing for DSLs (tool demo,"Gómez-Abajo, P. and Guerra, E. and Lara, J. and Merayo, M.G.",2019,,Proceedings of the 17th ACM SIGPLAN International Workshop on Domain-Specific Modeling,GomezAbajo2020
Mutation testing for Java based on model-driven development (in spanish,"González, A. and Luna, C. and Bressan, G.",2018,,,GomezAbajo2020
Mutation testing from probabilistic and stochastic finite state machines,"Hierons, R.M. and Merayo, M.G.",2009,,,McMinn2019
Mutation testing meets approximate computing,"Milos, Sarfraz, Sasa, August",2017-5,10.1109/ICSE-NIER.2017.15,2017 IEEE/ACM 39th International Conference on Software Engineering: New Ideas and Emerging Technologies Results Track (ICSE-NIER),
Mutation testing of memory-related operators,"Jay, Fan, Mark, Yue, Jens",2015-4,10.1109/ICSTW.2015.7107449,"2015 IEEE Eighth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",
Mutation testing of software using MIMD computer,"Offutt, A.J. and Pargas, R.P. and Fichter, S.V. and Khambekar, P.K.",1992,,,Zhang2012
Mutation testing of software using a MIMD computer,"Offutt, A.J. and Pargas, R.P. and Fichter, S.V. and Khambekar, P.K.",1992,,,McMinn2019
"Mutation versus all-uses: An empirical evaluation of cost, strength and effectiveness","Wong, W.E. and Mathur, A.P. and Maldonado, J.C.",1995,,"Software Quality and Productivity, IFIP Advances in Information and Communication Technology",Tengeri2016
Mutation-Based Fault Localization for Real-World Multilingual Programs (T),"Shin, Byeongcheol, Taehoon, Yiru, Bongsuk, Yunho, Moonzoo",2015-11,10.1109/ASE.2015.14,2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE),
Mutation-Driven Generation of Unit Tests and Oracles,"Gordon, Andreas",2012-3,10.1109/TSE.2011.93,IEEE Transactions on Software Engineering,
Mutation-based fuzzing,"Zeller, A. and Gopinath, R. and Böhme, M. and Fraser, G. and Holler, C.",2019,,,GomezAbajo2020
Mutation-based test generation for plc embedded software using model checking,,2016,,"Testing Software and Systems, Lecture Notes in Computer Science",Zhu2018
Mutation-based test-case prioritization in software evolution,"Yiling, Dan, Lu",2015-11,10.1109/ISSRE.2015.7381798,2015 IEEE 26th International Symposium on Software Reliability Engineering (ISSRE),
Mutation-driven generation of unit tests and oracles,"Gordon, Andreas",2010,10.1145/1831708.1831728,Proceedings of the 19th international symposium on Software testing and analysis - ISSTA '10,
Mutations: How Close are they to Real Faults?,"Rahul, Carlos, Alex",2014-11,10.1109/ISSRE.2014.40,2014 IEEE 25th International Symposium on Software Reliability Engineering,
Mutations: How close are they to real faults?,"Gopinath, R. and Jensen, C. and Groce, A.",2014-11,,2014 IEEE 25th International Symposium on Software Reliability Engineering,Gopinath2017a
Mutatis mutandis: Evaluating DBMS test adequacy with mutation testing,"Bowman, I.T.",2013,,,McMinn2019
Mutode: generic javascript and node.js mutation testing tool,"Rodrı́guez-Baquero, D. and Linares-Vásquez, M.",,,Proceedings of the 27th ACM SIGSOFT International Symposium on Software Testing and Analysis,EscobarVelasquez2019
Negative Effects of Bytecode Instrumentation on Java Source Code Coverage,"David, Ferenc, Arpad, Tamas, Tibor",2016-3,10.1109/SANER.2016.61,"2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",
Non-semantics-preserving transformations for higher-coverage test generation using symbolic execution,"Converse, H. and Olivo, O. and Khurshid, S.",,,"2017 IEEE International Conference on Software Testing, Verification and Validation (ICST)",Gligoric2017
On Adaptive Sampling-Based Testing for Software Reliability Assessment,"Roberto, Stefano",2016-10,10.1109/ISSRE.2016.50,2016 IEEE 27th International Symposium on Software Reliability Engineering (ISSRE),
On Adequacy of Assertions in Automated Test Suites: An Empirical Investigation,"Junji, Vahid",2013-3,10.1109/ICSTW.2013.49,"2013 IEEE Sixth International Conference on Software Testing, Verification and Validation Workshops",
On Mutation,"Acree, A.T.",1980,,,Just2014a
On The Detection of Test Smells: A Metrics-Based Approach for General Fixture and Eager Test,"B., B., S., M.",2007-12,10.1109/TSE.2007.70745,IEEE Transactions on Software Engineering,
On guiding the augmentation of an automated test suite via mutation analysis,"Ben H., Laurie",2008-8-21,10.1007/s10664-008-9083-7,Empirical Software Engineering,
On mutation,"Acree, A.T.",1980,,,Gopinath2017a
On mutation and data flow,"Wong, W.E.",1993,,,Gopinath2017a
On random and partition testing,"Ntafos, S.",1998-03,,Proceedings of ACM SIGSOFT international symposium on Software testing and analysis  - ISSTA '98,Robinson2011
On reduced neighborhood mutation analysis using a single mutagenic operator,Roland H.,2009,10.1145/1566445.1566540,Proceedings of the 47th Annual Southeast Regional Conference on - ACM-SE 47,
On redundant mutants and strong mutation,"Lindström, B. and Márki, A.",2015,,,Gopinath2017a
On strong mutation and subsuming mutants. IEEE workshop on mutation analysis (mutation 2016,"Lindstrm, B. and Mrki, A.",2016,,,Gopinath2017a
On the Danger of Coverage Directed Test Case Generation,"Matt, Gregory, Michael, Mats",2012,10.1007/978-3-642-28872-2_28,"Fundamental Approaches to Software Engineering, Lecture Notes in Computer Science",
On the Relation of Test Smells to Software Code Quality,"Davide, Fabio, Andy, Magiel, Alberto",2018-9,10.1109/ICSME.2018.00010,2018 IEEE International Conference on Software Maintenance and Evolution (ICSME),
On the Use of Mutation Faults in Empirical Assessments of Test Case Prioritization Techniques,", G.",2006-9,10.1109/TSE.2006.92,IEEE Transactions on Software Engineering,
On the danger of coverage directed test case generation,"Staats, M. and Gay, G. and Whalen, M. and Heimdahl, M.",2012,,"Fundamental Approaches to Software Engineering, Lecture Notes in Computer Science",Zhang2013
On the detection of test smells: A metrics-based approach for general fixture and eager test,"Rompaey, B.Van and Bois, B.Du and Demeyer, S. and Rieger, M.",2007-12,,IEEE Transactions on Software Engineering,Tengeri2015
On the effectiveness of manual and automatic unit test generation,"Bacchelli, A. and Ciancarini, P. and Rossi, D.",2008,,2008 The Third International Conference on Software Engineering Advances,Kracht2014
On the effectiveness of the test-first approach to programming,"Erdogmus, H. and Morisio, M. and Torchiano, M.",2005-03,,IEEE Transactions on Software Engineering,Gopinath2017a
On the influence of Test Smells on Test Coverage,"Tássio, Railana, Luana Almeida, Larissa Rocha, Heitor, Ivan",2019-9-23,10.1145/3350768.3350775,Proceedings of the XXXIII Brazilian Symposium on Software Engineering,
On the interplay between software testing and evolution and its effect on program comprehension,"Moonen, L. and Deursen, A. and Zaidman, A. and Bruntink, M.",2008,,Software Evolution,Bowes2017
On the limits of mutation reduction strategies,"Rahul, Mohammad Amin, Iftekhar, Carlos, Alex",2016-5-14,10.1145/2884781.2884787,Proceedings of the 38th International Conference on Software Engineering,
On the role of tests in test-driven development: a differentiated and partial replication,"Fucci, D. and Turhan, B.",2014,10.1007/s10664-013-9259-7,Empirical Software Engineering,Bowes2017
On the use of a similarity function for test case selection in the context of model-based testing,"Emanuela G., Patrícia D. L., Francisco G. Oliveira",2009-7-22,10.1002/stvr.413,"Software Testing, Verification and Reliability",
On the use of mutation faults in empirical assessments of test case prioritization techniques,"Do, H. and Rothermel, G.",2006,,IEEE Transactions on Software Engineering,Kracht2014
On-demand test suite reduction,"Hao, D. and Zhang, L. and Wu, X. and Mei, H. and Rothermel, G.",2012,,2012 34th International Conference on Software Engineering (ICSE),Zhang2013
One evaluation of model-based testing and its automation,"A., W., S., C., M., B., R., T.",2005,10.1145/1062455.1062529,Proceedings of the 27th international conference on Software engineering  - ICSE '05,
"Oops, My Tests Broke the Build: An Explorative Analysis of Travis CI with GitHub","Moritz, Georgios, Andy",2017-5,10.1109/MSR.2017.62,2017 IEEE/ACM 14th International Conference on Mining Software Repositories (MSR),
Operator-based and random mutant selection: Better together,"Lingming, Milos, Darko, Sarfraz",2013-11,10.1109/ASE.2013.6693070,2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE),
Overcoming the Equivalent Mutant Problem: A Systematic Literature Review and a Comparative Experiment of Second Order Mutation,"Lech, Wojciech, Richard, Mariusz",2014-1,10.1109/TSE.2013.44,IEEE Transactions on Software Engineering,
Overcoming the Equivalent Mutant Problem: A Systematic Literature Review and a Comparative Experiment of Second Order Mutation”,"Madeyski, L. and Orzeszyna, W. and Torkar, R. and Jozala, M.",2014-01,,IEEE Transactions on Software Engineering,Parsai2016
Overcoming the equivalent mutant problem: A systematic literature review and a comparative experiment of second order mutation,"Madeyski, L. and Orzeszyna, W. and Torkar, R. and Józala, M.",2014,,IEEE Transactions on Software Engineering,Tengeri2016
PCTgen: Automated Generation of Test Cases for Application Workflows,Miroslav,2015,10.1007/978-3-319-16486-1_78,"New Contributions in Information Systems and Technologies, Advances in Intelligent Systems and Computing",
PIT: a practical mutation testing tool for Java (demo),"Henry, Thomas, Christopher, Mike, Anthony",2016-7-18,10.1145/2931037.2948707,Proceedings of the 25th International Symposium on Software Testing and Analysis,
POGen: A test code generator based on template variable coverage in gray-box integration testing for web applications,"Sakamoto, K. and Tomohiro, K. and Hamura, D. and Washizaki, H. and Fukazawa, Y.",2013,,"Fundamental Approaches to Software Engineering, Lecture Notes in Computer Science",Mirzaaghaei2014
Pairwise testing in the real world: Practical extensions to test-case scenarios,"Czerwonka, J.",2006,,,Felbinger2017
Palus: A hybrid automated test generation tool for Java,"Zhang, S.",2011,,,Kracht2014
Partition testing does not inspire confidence,"Hamlet, Dick and Taylor, Ross",1990-12,,"[1988] Proceedings. Second Workshop on Software Testing, Verification, and Analysis",Harder2003
"Partition testing, stratified sampling, and cluster analysis","Podgurski, A. and Yang, C.",1993,,Proceedings of the 1st ACM SIGSOFT symposium on Foundations of software engineering  - SIGSOFT '93,Bruenink2018
Path analysis testing of concurrent programs,"Yang, R.-D. and Chung, C.-G.",1992,,Information and Software Technology,Sherman2009
"Performance, effectiveness, and reliability issues in software testing",A.P.,,10.1109/CMPSAC.1991.170248,[1991] Proceedings The Fifteenth Annual International Computer Software & Applications Conference,
Pex: White Box Test Generation for .NET”,"Tillmann, N. and Halleux, J.",2008,,"Tests and Proofs, Lecture Notes in Computer Science",Godio2019
Pex–white box test generation for .NET,"Tillmann, N. and Halleux, J.De",2008,,"Tests and Proofs, Lecture Notes in Computer Science",Rojas2017
Pit mutation testing,"Coles, H.",2016,,,Gopinath2017a
Pit mutation testing: Mutators,"Coles, H.",2016,,,Gopinath2017a
Practical regression test selection with dynamic file dependencies,"Milos, Lamyaa, Darko",2015-7-13,10.1145/2771783.2771784,Proceedings of the 2015 International Symposium on Software Testing and Analysis,
Precise identification of problems for structural test generation,"Xiao, X. and Xie, T. and Tillmann, N. and Halleux, J.De",2011,,Proceedings of the 33rd International Conference on Software Engineering,Rojas2017
Predicting Test Suite Effectiveness for Java Programs,"Inozemtseva, L.",2012,,,Inozemtseva2013
Predicting class testability using object-oriented metrics,"M., A.",,10.1109/SCAM.2004.16,"Source Code Analysis and Manipulation, Fourth IEEE International Workshop on",
Predicting mutation score using source code and test suite metrics,"Jalbert, K. and Bradbury, J.S.",2012,,2012 First International Workshop on Realizing AI Synergies in Software Engineering (RAISE),Tengeri2016
Predictive mutation testing,"Zhang, J. and Wang, Z. and Zhang, L. and Hao, D. and Zang, L. and Cheng, S. and Zhang, L.",2016,,,Gligoric2017
Prioritizing Mutation Operators Based on Importance Sampling,"Mohan, Akbar Siami",2010-11,10.1109/ISSRE.2010.16,2010 IEEE 21st International Symposium on Software Reliability Engineering,
Prioritizing test cases for regression testing,"G., R.H., , M.J.",2001,10.1109/32.962562,IEEE Transactions on Software Engineering,
Prioritizing test cases with string distances,"Yves, Alexandre, Sergiy, Nadine",2011-9-7,10.1007/s10515-011-0093-0,Automated Software Engineering,
Procedures for reducing the size of coverage-based test sets,"Offutt, J. and Pan, J. and Voas, J.M.",1995,,,Tengeri2016
Profiling deployed software: Assessing strategies and testing opportunities,"Elbaum, S. and Diep, M.",2005,,IEEE Transactions on Software Engineering,Wang2017
Profiling deployed software: assessing strategies and testing opportunities,"Elbaum, S. and Diep, M.",2005-04,,IEEE Transactions on Software Engineering,Bruenink2018
Program testing by specification mutation,"Timothy A., Ajei S.",1985-1,10.1016/0096-0551(85)90011-6,Computer Languages,
"Programs , Tests , and Oracles : The Foundations of Testing Revisited","Staats, M. and Whalen, M.W. and Heimdahl, M.P.E.",2011,,,Zhi2013
"Programs, tests, and oracles: the foundations of testing revisited","Staats, M. and Whalen, M.W. and Heimdahl, M.P.E.",2011,,,Bowes2017
Property based coverage criterion,"Fadi, Wes",2009,10.1145/1555860.1555870,Proceedings of the 2nd International Workshop on Defects in Large Software Systems Held in conjunction with the ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA 2009) - DEFECTS '09,
Proteum/IM 2.0: An Integrated Mutation Testing Environment,"Delamaro, M.E. and Maldonado, J.C. and Vincenzi, A.",2000-10,,Mutation Testing for the New Century,RealesMateo2013
Proteum/im 2.0: An integrated mutation testing environment,"Delamaro, M.E. and Maldonado, J.C. and Vincenzi, A.M.R.",2001,,Mutation Testing for the New Century,Zhang2013
Proteum–A tool for the assessment of test adequacy for C programs,"Delamaro, M.E. and Maldonado, J.C.",1996,,,Zhang2012
Providing Test Quality Feedback Using Static Source Code and Automatic Test Suite Metrics,"Nagappan, N. and Williams, L. and Osborne, J.A. and Vouk, M.A.",2005,,16th IEEE International Symposium on Software Reliability Engineering (ISSRE'05),Bowes2017
Providing test quality feedback using static source code and automatic test suite metrics,"Nagappan, N. and Williams, L. and Osborne, J. and Vouk, M. and Abrahamsson, P.",2005,,16th IEEE International Symposium on Software Reliability Engineering (ISSRE'05),Tengeri2015
Puzzle-based automatic testing: bringing humans into the loop by solving puzzles,"Chen, N. and Kim, S.",2012,,Proceedings of the 27th IEEE/ACM International Conference on Automated Software Engineering - ASE 2012,Rojas2017
Quality of Testing in Test Driven Development,"Adnan, Sasikumar, Daniel",2012-9,10.1109/QUATIC.2012.49,2012 Eighth International Conference on the Quality of Information and Communications Technology,
Quality of testing in test driven development,"Causevic, A. and Punnekkat, S. and Sundmark, D.",2012,,2012 Eighth International Conference on the Quality of Information and Communications Technology,Bowes2017
Query-Driven Program Testing,"Andreas, Christian, Michael, Helmut",2008,10.1007/978-3-540-93900-9_15,"Lecture Notes in Computer Science, Verification, Model Checking, and Abstract Interpretation",
QuickCheck: A lightweight tool for random testing of Haskell programs,"Claessen, K. and Hughes, J.",2000-09,,,Robinson2011
QuickCheck: a lightweight tool for random testing of Haskell programs”,"Claessen, K. and Hughes, J.",2000,,,Godio2019
RELAI Testing: A Technique to Assess and Improve Software Reliability,"Domenico, Roberto, Stefano",2016-5-1,10.1109/TSE.2015.2491931,IEEE Transactions on Software Engineering,
Random testing,"Hamlet, D.",1994,,,Robinson2011
Randomized Differential Testing as a Prelude to Formal Verification,"Alex, Gerard, Rajeev",2007-5,10.1109/ICSE.2007.68,29th International Conference on Software Engineering (ICSE'07),
Randomized directed testing (REDIRECT) for Simulink/Stateflow models,"Manoranjan, Anand, S.",2008,10.1145/1450058.1450088,Proceedings of the 7th ACM international conference on Embedded software - EMSOFT '08,
Rapid embedded system testing using verification patterns,"Tsai, W.-T. and Yu, L. and Zhu, F. and Paul, R.",2005,,IEEE Software,Zhu2018
ReAssert: Suggesting repairs for broken unit tests,"Daniel, B. and Jagannath, V. and Dig, D. and Marinov, D.",2009,,2009 IEEE/ACM International Conference on Automated Software Engineering,Gligoric2017
Reachability testing of concurrent programs,"Y., R.H.",2006-6,10.1109/TSE.2006.56,IEEE Transactions on Software Engineering,
Recomputing coverage information to assist regression testing,"Chittimalli, P.K. and Harrold, M.J.",2009,,IEEE Transactions on Software Engineering,Zhang2012
