Title,Abstract,Authors,Published,Published_In
Predictive analytics for software testing: Keynote paper,"This keynote discusses the use of Predictive Analytics for Software Engineering, and in particular for Software Defect Prediction and Software Testing, by presenting the latest results achieved in these fields leveraging Artificial Intelligence, Search-based and Machine",['F Sarro'],2018,
Predictive mutation testing,"Test suites play a key role in ensuring software quality. A good test suite may detect more faults than a poor-quality one. Mutation testing is a powerful methodology for evaluating the fault-detection ability of test suites. In mutation testing, a large number of mutants may be","['J Zhang', 'L Zhang', 'M Harman', 'D Hao']",2018,
Preventing data errors with continuous testing,"Today, software systems that rely on data are ubiquitous, and ensuring the data's quality is an increasingly important challenge as data errors result in annual multi-billion dollar losses. While software debugging and testing have received heavy research attention, less effort","['K Muşlu', 'Y Brun', 'A Meliou']",2015,Proceedings of the 2015 International Symposium on Software Testing and Analysis
Prioritizing state-based aspect tests,"In aspect-oriented programming, aspects are essentially incremental modifications to their base classes. Therefore aspect-oriented programs can be tested in an incremental fashion-we can first test the base classes and then test the base classes and aspects as a whole","['D Xu', 'J Ding']",2010,"2010 Third International Conference on Software Testing, Verification and Validation"
Private api access and functional mocking in automated unit test generation,"Not all object oriented code is easily testable: Dependency objects might be difficult or even impossible to instantiate, and object-oriented encapsulation makes testing potentially simple code difficult if it cannot easily be accessed. When this happens, then developers can resort","['A Arcuri', 'G Fraser', 'R Just']",2017,"2017 IEEE International Conference on Software Testing, Verification and Validation (ICST)"
Profile analysis techniques for observation-based software testing,"Observation-based testing is a software-testing paradigm based on the idea of observing the behavior of the program when executed under a variety of test cases. The runtime behavior of a program can be summarized in profiles, which can then be analyzed for a variety of",['DZL Cesin'],2005,
Program state coverage: a test coverage metric based on executed program states,"In software testing, different metrics are proposed to predict and compare test suites effectiveness. In this regard, Mutation Score (MS) is one of most accurate metrics. However, calculating MS needs executing test suites many times and it is not commonly used in","['KE Someoliayi', 'S Jalali', 'M Mahdieh']",2019,"2019 IEEE 26th International Conference on Software Analysis, Evolution and Reengineering (SANER)"
"Programs, tests, and oracles: the foundations of testing revisited","In previous decades, researchers have explored the formal foundations of program testing. By exploring the foundations of testing largely separate from any specific method of testing, these researchers provided a general discussion of the testing process, including the goals","['M Staats', 'MW Whalen']",2011,
QTEP: Quality-aware test case prioritization,"Test case prioritization (TCP) is a practical activity in software testing for exposing faults earlier. Researchers have proposed many TCP techniques to reorder test cases. Among them, coverage-based TCPs have been widely investigated. Specifically, coverage-based","['S Wang', 'J Nam', 'L Tan']",2017,Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering
Qos-aware metamorphic testing: An elevation case study,"Elevators are among the oldest and most widespread transportation systems, yet their complexity increases rapidly to satisfy customization demands and to meet quality of service requirements. Verification and validation tasks in this context are costly, since they rely on","['J Ayerdi', 'S Segura', 'A Arrieta']",2020,2020 IEEE 31st International Symposium on Software Reliability Engineering (ISSRE)
Quality assessment of crowdsourced test cases,"Various software-engineering problems have been solved by crowdsourcing. In many projects, the software outsourcing process is streamlined on cloud-based platforms. Among software engineering tasks, test-case development is particularly suitable for crowdsourcing","['Y Zhao', 'Y Feng', 'Y Wang', 'R Hao', 'C Fang']",2020,Science China Information Sciences
Quantitative metrics for mutation testing,"Program mutation is the process of generating versions of a base program by applying elementary syntactic modifications; this technique has been used in program testing in a variety of applications, most notably to assess the quality of a test data set. A good test set",['A Ayad'],2019,Proceedings of the 14th International Conference on Software Technologies
RAMBUTANS: automatic AOP-specific test generation tool,"Aspect-oriented programming (AOP) is a programmatic methodology to handle better modularized code by separating crosscutting concerns from the traditional abstraction boundaries. Automated testing, as one of the most demanding needs of the software","['RM Parizi', 'AAA Ghani', 'SP Lee', 'SUR Khan']",2017,International Journal on Software Tools for Technology Transfer
Recent advances in automatic black-box testing,"Research in black-box testing has produced impressive results in the past 40 years, addressing many aspects of the problem that span from integration with the development process, to test case generation and execution. In the past few years, the research in this","['L Mariani', 'M Pezze', 'D Zuddas']",2015,Advances in Computers
Recent advances in regression testing techniques,"Software systems and their environment change are continuous. They are enhanced, corrected, and ported to new platforms. These changes can affect a system adversely, thus software engineers perform regression testing to ensure the quality of the modified systems",['H Do'],2016,Advances in Computers
Reconsidering automated feedback: A test-driven approach,"Writing meaningful software tests requires students to think critically about a problem and consider a variety of cases that might break the solution code. Consequently, to overcome bugs in their code, it would be beneficial for students to reflect over their work and write","['K Buffardi', 'SH Edwards']",2015,
Redefining and evaluating coverage criteria based on the testing scope,"Test coverage information can help testers in deciding when to stop testing and in augmenting their test suites when the measured coverage is not deemed sufficient. Since the notion of a test criterion was introduced in the 70's, research on coverage testing has",['B Miranda'],2016,
Reducing mutants with mutant killable precondition,"Mutation analysis is a method for predicting the quality of test suite accurately. However, it has high computational cost due to the number of mutants that are generated. For example, the ROR (Relational Operator Replacement) mutation operator will generate seven mutants","['C Iida', 'S Takada']",2017,"2017 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)"
Reducing test effort: A systematic mapping study on existing approaches,"Context Quality assurance effort, especially testing effort, is often a major cost factor during software development, which sometimes consumes more than 50% of the overall development effort. Consequently, one major goal is often to reduce testing effort. Objective","['F Elberzhager', 'A Rosbach', 'J Münch']",2012,Information and Software Technology
Reduzindo o custo do teste de mutação com base no conceito de arcos primitivos,"Context: Software testing plays an important role in quality assurance. Testing techniques and criteria help the tester to develop and assess test suites. Mutation testing is a fault-based testing criterion commonly used to evaluate the quality of test suites. However, a high",['PH Kuroishi'],2021,
Regression test case prioritization by code combinations coverage,"Regression test case prioritization (RTCP) aims to improve the rate of fault detection by executing more important test cases as early as possible. Various RTCP techniques have been proposed based on different coverage criteria. Among them, a majority of techniques","['R Huang', 'Q Zhang', 'D Towey', 'W Sun', 'J Chen']",2020,
Regression test selection for AspectJ software,"As aspect-oriented software development gains popularity, there is growing interest in using aspects to implement cross-cutting concerns in object-oriented systems. When aspect-oriented features are added to an object-oriented program, or when an existing aspect","['G Xu', 'A Rountev']",2007,29th International Conference on Software Engineering (ICSE'07)
Regression test selection when evolving software with aspects,"Aspect-oriented software evolution introduces new challenges for regression test selection. When a program, that has been thoroughly tested, evolves by addition of an aspect, it is important for regression test selection to know which test cases are impacted by the new","['R Delamare', 'B Baudry', 'Y Le Traon']",2008,Proceedings of the 2008 AOSD workshop on Linking aspect technology and evolution - LATE '08
Regression testing in software product line engineering,"Software product line engineering is an approach to cost-efficiently derive tailored products to markets and customers, utilizing common components and services in a planned manner. Product lines have been applied to other engineering fields for decades, while being quite","['P Runeson', 'E Engström']",2012,
"Regression testing minimization, selection and prioritization: a survey","Regression testing is a testing activity that is performed to provide confidence that changes do not harm the existing behaviour of the software. Test suites tend to grow in size as software evolves, often making it too costly to execute entire test suites. A number of different","['S Yoo', 'M Harman']",2012,
Rehabilitating equivalent mutants as static anomaly detectors in software artifacts,"In mutation analysis a mutant is said equivalent if it leaves the semantics of the program or the model unchanged. Equivalent mutants are usually seen as an inconvenience; for example, in software testing they cannot be detected by a test and, therefore, they fictitiously","['P Arcaini', 'A Gargantini', 'E Riccobene']",2015,"2015 IEEE Eighth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)"
"Relating code coverage, mutation score and test suite reducibility to defect density","Assessing the overall quality (adequacy for a particular purpose) of existing test suites is a complex task. Their code coverage is a simple yet powerful attribute for this purpose, so the additional benefits of mutation analysis may not always justify the comparably much higher","['D Tengeri', 'L Vidács', 'Á Beszédes', 'J Jász']",2016,"2016 IEEE Ninth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)"
Relation-based test case prioritization for regression testing,"Test case prioritization (TCP), which aims at detecting faults as early as possible is broadly used in program regression testing. Most existing TCP techniques exploit coverage information with the hypothesis that higher coverage has more chance to catch bugs. Static","['J Chi', 'Y Qu', 'Q Zheng', 'Z Yang', 'W Jin', 'D Cui']",2020,
Requirements coverage as an adequacy measure for conformance testing,Conformance testing in model-based development refers to the testing activity that verifies whether the code generated (manually or automatically) from the model is behaviorally equivalent to the model. Presently the adequacy of conformance testing is inferred by,"['A Rajan', 'M Whalen', 'M Staats']",2008,"Formal Methods and Software Engineering, Lecture Notes in Computer Science"
Resolving the equivalent mutant problem in the presence of non-determinism and coincidental correctness,"In this paper, we develop a new mutation testing technique called Interlocutory Mutation Testing (IMT) that mitigates the equivalent mutant problem in the presence of coincidental correctness and non-determinism. The accuracy of IMT was evaluated; it obtained a","['K Patel', 'RM Hierons']",2016,"Testing Software and Systems, Lecture Notes in Computer Science"
"Revisiting test smells in automatically generated tests: limitations, pitfalls, and opportunities","Test smells attempt to capture design issues in test code that reduce their maintainability. Previous work found such smells to be highly common in automatically generated test-cases, but based this result on specific static detection rules; although these are based on","['A Panichella', 'S Panichella', 'G Fraser']",2020,2020 IEEE International Conference on Software Maintenance and Evolution (ICSME)
"Revisiting the relationship between fault detection, test adequacy criteria, and test set size","The research community has long recognized a complex interrelationship between fault detection, test adequacy criteria, and test set size. However, there is substantial confusion about whether and how to experimentally control for test set size when assessing how well","['YT Chen', 'R Gopinath', 'A Tadakamalla']",2020,Proceedings of the 35th IEEE/ACM International Conference on Automated Software Engineering
RobOT: Robustness-oriented testing for deep learning systems,"Recently, there has been a significant growth of interest in applying software engineering techniques for the quality assurance of deep learning (DL) systems. One popular direction is deep learning testing, where adversarial examples (aka bugs) of DL systems are found","['J Wang', 'J Chen', 'Y Sun', 'X Ma', 'D Wang']",2021,2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE)
Rostra: A framework for detecting redundant object-oriented unit tests,Object-oriented unit tests consist of sequences of method invocations. Behavior of an invocation depends on the state of the receiver object and method arguments at the beginning of the invocation. Existing tools for automatic generation of object-oriented test,"['T Xie', 'D Notkin', 'D Marinov']",2004,"Proceedings. 19th International Conference on Automated Software Engineering, 2004."
Rotten green tests,"Unit tests are a tenant of agile programming methodologies, and are widely used to improve code quality and prevent code regression. A green (passing) test is usually taken as a robust sign that the code under test is valid. However, some green tests contain assertions that are","['J Delplanque', 'S Ducasse', 'G Polito']",2019,2019 IEEE/ACM 41st International Conference on Software Engineering (ICSE)
"Running students' software tests against each others' code: new life for an old"" gimmick""","At SIGCSE 2002, Michael Goldwasser suggested a strategy for adding software testing practices to programming courses by requiring students to turn in tests along with their solutions, and then running every student's tests against every other student's program","['SH Edwards', 'Z Shams', 'M Cogswell']",2012,
SPt: uma nova abordagem para revisão automática de artefatos de software e geração de planos de teste,"Os produtos de software devem apresentar níveis de alta qualidade para serem bem-sucedidos em um mercado competitivo. Normalmente, a confiabilidade dos produtos é assegurada pelas atividades de teste. No entanto, o teste de software às vezes é","['AC MOTA', 'FA BARROS']",2019,
SS-BDD: automated acceptance testing for spreadsheets,"Current Spreadsheet Applications, such as Excel and Google Sheets, provide innumerous built-in facilities, including arithmetic, financial and statistical operations, as well as conditional expressions. Thus, users with little or no formal training in programming can","['L Almeida', 'E Cirilo', 'EA Barbosa']",2016,
STADS: Software testing as species discovery,"A fundamental challenge of software testing is the statistically well-grounded extrapolation from program behaviors observed during testing. For instance, a security researcher who has run the fuzzer for a week has currently no means (1) to estimate the total number of",['M Böhme'],2018,
STAGE: a software tool for automatic grading of testing exercises: case study paper,"We report on an approach and associated tool-support for automatically evaluating and grading exercises in Software Engineering courses, by connecting various third-party tools to the online learning platform Moodle. In the case study presented here, the tool was used","['S Pape', 'J Flake', 'A Beckmann', 'J Jürjens']",2016,
Sampling program inputs with mutation analysis: Going beyond combinatorial interaction testing,"Modern systems tend to be highly configurable. Testing such systems requires selecting test cases from a large input space. Thus, there is a need to systematically sample program inputs in order to reduce the testing effort. In such cases, testing the interactions between","['M Papadakis', 'C Henard']",2014,"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation"
Scalability studies on selective mutation testing,"Mutation testing is a test method which is designed to evaluate a test suite's quality. Due to the expensive cost of mutation testing, selective mutation testing was first proposed in 1991 by Mathur, in which a subset of mutants are selected aiming to achieve the same",['J Zhang'],2015,2015 IEEE/ACM 37th IEEE International Conference on Software Engineering
Scalable mutation testing using predictive analysis of deep learning model,"Software testing plays a crucial role in ensuring the quality of software systems. Mutation testing is designed to measure the adequacy of test suites by detecting artificially induced software faults. Despite their potential, the expensive cost and the scalability of mutation","['MR Naeem', 'T Lin', 'H Naeem', 'F Ullah', 'S Saeed']",2019,IEEE Access
Scaling testing of refactoring engines.,"Definir e implementar refatoramentos não é uma tarefa trivial, pois é difícil definir todas as pré-condições necessárias para garantir que a transformação preserve o comportamento observável do programa. Com isso, ferramentas de refatoramentos podem ter condições",['MMCL Sabino'],2016,
Scaling up automated test generation: Automatically generating maintainable regression unit tests for programs,This paper presents an automatic technique for generating maintainable regression unit tests for programs. We found previous test generation techniques inadequate for two main reasons. First. they were designed for and evaluated upon libraries rather than applications,"['B Robinson', 'MD Ernst', 'JH Perkins']",2011,2011 26th IEEE/ACM International Conference on Automated Software Engineering (ASE 2011)
"Scope-aided test prioritization, selection and minimization for software reuse","Software reuse can improve productivity, but does not exempt developers from the need to test the reused code into the new context. For this purpose, we propose here specific approaches to white-box test prioritization, selection and minimization that take into account","['B Miranda', 'A Bertolino']",2017,Journal of Systems and Software
Search-Based test case prioritization for simulation-Based testing of cyber-Physical system product lines,"Cyber-Physical Systems (CPSs) integrate computation with physical processes. These systems are usually highly configurable to address different customer needs and are evolving to be CPS product lines. The variability of CPS product lines is large, which implies","['A Arrieta', 'S Wang', 'G Sagardui', 'L Etxeberria']",2019,Journal of Systems and Software
Search-based mutant selection for efficient test suite improvement: Evaluation and results,"Context Search-based techniques have been applied to almost all areas in software engineering, especially to software testing, seeking to solve hard optimization problems. However, the problem of selecting mutants to improve the test suite at a lower cost has not","['P Delgado-Pérez', 'I Medina-Bulo']",2018,Information and Software Technology
Search-based product line fault detection allocating test cases iteratively,"The large number of possible configurations makes it unfeasible to test every single system variant in a product line. Consequently, a small subset of the product line products must be selected, typically following combinatorial interaction testing approaches. Recently, many","['U Markiegi', 'A Arrieta', 'G Sagardui']",2017,Proceedings of the 21st International Systems and Software Product Line Conference - Volume A
Search-based test case implantation for testing untested configurations,"Context Modern large-scale software systems are highly configurable, and thus require a large number of test cases to be implemented and revised for testing a variety of system configurations. This makes testing highly configurable systems very expensive and time","['D Pradhan', 'S Wang', 'T Yue', 'S Ali', 'M Liaaen']",2019,Information and Software Technology
Search-based testing in financial applications,"Automated unit test generation has been extensively studied in the literature in recent years. Previous studies on open source systems have shown that test generation tools are quite effective at detecting faults, but how effective and applicable are they in an industrial",['MM Almasi'],2017,
Searching for test data,In recent years metaheuristic search techniques have been applied successfully to solve many software engineering problems. One area in particular where these techniques have gained much attention is search based test data generation. Many techniques have been,['K Ghani'],2009,
Seeding strategies for multi-objective test case selection: an application on simulation-based testing,"The time it takes software systems to be tested is usually long. This is often caused by the time it takes the entire test suite to be executed. To optimize this, regression test selection approaches have allowed for improvements to the cost-effectiveness of verification and","['A Arrieta', 'JA Agirre', 'G Sagardui']",2020,
Seeding strategies in search‐based unit test generation,"Search‐based techniques have been applied successfully to the task of generating unit tests for object‐oriented software. However, as for any meta‐heuristic search, the efficiency heavily depends on many factors; seeding, which refers to the use of previous related","['JM Rojas', 'G Fraser', 'A Arcuri']",2016,"Software Testing, Verification and Reliability"
Selecting fault revealing mutants,"Mutant selection refers to the problem of choosing, among a large number of mutants, the (few) ones that should be used by the testers. In view of this, we investigate the problem of selecting the fault revealing mutants, ie, the mutants that are killable and lead to test cases","['TT Chekam', 'M Papadakis', 'TF Bissyandé']",2020,Empirical Software Engineering
Selective mutation testing for concurrent code,"Concurrent code is becoming increasingly important with the advent of multi-cores, but testing concurrent code is challenging. Researchers are developing new testing techniques and test suites for concurrent code, but evaluating these techniques and test suites often","['M Gligoric', 'L Zhang', 'C Pereira', 'G Pokam']",2013,Proceedings of the 2013 International Symposium on Software Testing and Analysis
Self determination: A comprehensive strategy for making automated tests more effective and efficient,"A significant change in software development over the last decade has been the growth of test automation. Most software organizations automate as many tests as possible, which not only saves time and money, but also increases reproducibility and reduces errors during","['K Baral', 'J Offutt', 'F Mulla']",2021,"2021 14th IEEE Conference on Software Testing, Verification and Validation (ICST)"
Semantic-preserving test model transformations for interchangeable coverage criteria,"Testing cannot be complete. Heuristic means like coverage criteria are applied to measure the quality of tests. In model-based testing, it is common to apply coverage criteria to test models. Beyond test quality measurement, coverage criteria are also used to steer test",['S Weißleder'],2009,
Semi-automatic security testing of web applications with fault models and properties,"Web applications are complex and face complex attacks, as well. Thus, security vulnerabilities are hard to find. To tackle this complexity we analyze abstract models of these web applications. We generate test cases by (semi-) automatically injecting faults into the",['M Büchler'],2015,
Semi-automatic test case expansion for mutation testing,"Mutation testing is the state-of-the-art technique for detecting weaknesses in a test suite. Unfortunately, alleviating these weakness (ie “killing the surviving mutants”) is quite labour-intensive. In this paper we investigate a recommender system which expands test cases with","['ZX Lu', 'S Vercammen', 'S Demeyer']",2020,"2020 IEEE Workshop on Validation, Analysis and Evolution of Software Tests (VST)"
Sentinel: A hyper-heuristic for the generation of mutant reduction strategies,"Mutation testing is an effective approach to evaluate and strengthen software test suites, but its adoption is currently limited by the mutants' execution computational cost. Several strategies have been proposed to reduce this cost (aka mutation cost reduction strategies)","['G Guizzo', 'F Sarro', 'J Krinke']",2020,IEEE Transactions on Software Engineering
Service testing for the internet of things,"Services that represent sensor and actuator nodes, together with service orchestration, aid in overcoming the heterogeneous structure of the Internet of Things (IoT). Interconnecting different sensor and actuator nodes and exposing them as services is a complex topic which",['ES Reetz'],2016,
SiMut: exploring program similarity to support the cost reduction of mutation testing,"Scientists have created many cost reduction techniques for mutation testing, and most of them reduce cost with minor losses of effectiveness. However, many of these techniques are difficult to generalize, difficult to scale, or both. Published results are usually limited to a","['AV Pizzoleto', 'FC Ferrari', 'LD Dallilo']",2020,"2020 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)"
Simautogen tool: test vector generation from large scale Matlab/Simulink models,"Safety-critical applications require complete high-coverage testing, which is not always guaranteed by model-based test generation techniques. Recently, automatic test generation by model checking has been reported to improve the efficiency of test suites over","['N Ebdelli', 'SB Ahmed']",2016,"Formal Techniques for Distributed Objects, Components, and Systems, Lecture Notes in Computer Science"
Simulated restriction of coverage criteria on UML state machines,Model-based testing is a promising quality assurance technique. Automatic test generation from behavioral models is state of the art. Coverage criteria at model level are often used to measure test quality and to steer automatic test generation. While tests are focused on,"['S Weißleder', 'T Rogenhofer']",2011,"2011 IEEE Fourth International Conference on Software Testing, Verification and Validation Workshops"
Simulated satisfaction of coverage criteria on uml state machines,"UML state machines are widely used as test models in model-based testing. Coverage criteria are applied to them, eg to measure a test suite's coverage of the state machine or to steer automatic test suite generation based on the state machine. The model elements to",['S Weißleder'],2010,"2010 Third International Conference on Software Testing, Verification and Validation"
Simulation-based test adequacy criteria for distributed systems,"Developers of distributed systems routinely construct discrete-event simulations to help understand and evaluate the behavior of inter-component protocols. Simulations are abstract models of systems and their environments, capturing basic algorithmic functionality","['MJ Rutherford', 'A Carzaniga', 'AL Wolf']",2006,
Simulation-based testing of distributed systems,"Developers of distributed systems routinely construct discrete-event simulations to help them understand and evaluate the behavior of inter-component protocols. Typically written using an imperative programming language, these simulations capture basic algorithmic","['MJ Rutherford', 'A Carzaniga', 'AL Wolf']",2006,
Smartunit: Empirical evaluations for automated unit testing of embedded software in industry,"In this paper, we aim at the automated unit coverage-based testing for embedded software. To achieve the goal, by analyzing the industrial requirements and our previous work on automated unit testing tool CAUT, we rebuild a new tool, SmartUnit, to solve the engineering","['C Zhang', 'Y Yan', 'H Zhou', 'Y Yao', 'K Wu']",2018,
Smells in software test code: A survey of knowledge in industry and academia,"As a type of anti-pattern, test smells are defined as poorly designed tests and their presence may negatively affect the quality of test suites and production code. Test smells are the subject of active discussions among practitioners and researchers, and various guidelines to","['V Garousi', 'B Küçük']",2018,Journal of Systems and Software
Smug: a selective mutant generator tool,"In this tool demo paper, we present a prototype of a tool for the selective generation of mutants in Java source code. We named this tool as SMUG (Selective MUtant Generator). Given two subsequent versions of a program, SMUG creates mutants by considering only","['S Romano', 'G Scanniello']",2017,2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C)
Software semantics and syntax as a tool for automated test generation,Test automation saves time and cost by digitising test generation and execution. The existing techniques fail to produce effective and compliable test scripts for not considering both syntactic and semantic information. The proposed three-layer architecture incorporates,"['N Nahar', 'K Sakib']",2017,International Journal of Critical Computer-Based Systems
Software testing,"Any nontrivial program contains some errors in the source code. These “bugs” are annoying for users if they lead to application crashes and data loss, and they are worrisome if they lead to privacy leaks and security exploits. The economic damage caused by software bugs","['G Fraser', 'JM Rojas']",2019,
Software-testing contests: Observations and lessons learned,"While a significant amount of resources can be spent on software testing, the software produced may still suffer from low quality. The authors describe their experience of hosting industrysponsored software-testing contests to help undergraduate and graduate students","['X Wang', 'W Sun', 'L Hu', 'Y Zhao', 'WE Wong', 'Z Chen']",2019,Computer
Sound and quasi-complete detection of infeasible test requirements,"In software testing, coverage criteria specify the requirements to be covered by the test cases. However, in practice such criteria are limited due to the well-known infeasibility problem, which concerns elements/requirements that cannot be covered by any test case","['S Bardin', 'M Delahaye', 'R David']",2015,"2015 IEEE 8th International Conference on Software Testing, Verification and Validation (ICST)"
Special features of testing tools applicable for use in trading systems production,"Page 1. Special Features of Testing Tools Applicable for Use in Trading Systems Production AA Averina “Innovative Trading Systems”, LLC Kostroma, Russia Email: nastasya-89@bk.ru IL Itkin “Exactpro Systems”, LLC San Rafael, CA, USA NA Antonov “Innovative Trading Systems”","['AA Averina', 'IL Itkin', 'NA Antonov']",2013,2013 Tools & Methods of Program Analysis
"Specify and measure, cover and reveal: A unified framework for automated test generation","Automatic test input generation (ATG) is a major topic in software engineering, analysis and security. In this paper, we bridge the gap between state-of-the-art white-box ATG techniques, especially Dynamic Symbolic Execution, and the diversity of test objectives that they may be","['S Bardin', 'N Kosmatov', 'M Marcozzi']",2021,Science of Computer Programming
Speeding up GUI testing by on-device test generation,"When generating GUI tests for Android apps, it typically is a separate test computer that generates interactions, which are then executed on an actual Android device. While this approach is efficient in the sense that apps and interactions execute quickly, the","['NP Borges', 'J Rau', 'A Zeller']",2020,Proceedings of the 35th IEEE/ACM International Conference on Automated Software Engineering
Speeding up mutation testing via regression test selection: An extensive study,"Mutation testing is one of the most powerful methodologies to evaluate the quality of test suites, and has also been demonstrated to be effective for various other testing and debugging problems, eg, test generation, fault localization, and program repair. However","['L Chen', 'L Zhang']",2018,"2018 IEEE 11th International Conference on Software Testing, Verification and Validation (ICST)"
Speeding up mutation testing via the cloud: lessons learned for further optimisations,"Background: Mutation testing is the state-of-the-art technique for assessing the fault detection capacity of a test suite. Unfortunately, it is seldom applied in practice because it is computationally expensive. We witnessed 48 hours of mutation testing time on a test suite","['S Vercammen', 'S Demeyer', 'M Borg', 'S Eldh']",2018,
Speeding up test execution with increased cache locality,"As the scale and complexity of software increases, the number of tests needed for effective validation becomes extremely large. Executing these large test suites is expensive, both in terms of time and energy. Cache misses are a significant contributing factor to execution","['P Stratis', 'A Rajan']",2018,"Software Testing, Verification and Reliability"
Speeding-up mutation testing via data compression and state infection,"Mutation testing is widely considered as a high-end test criterion due to the vast number of mutants it generates. Although many efforts have been made to reduce the computational cost of mutation testing, its scalability issue remains in practice. In this paper, we introduce a","['Q Zhu', 'A Panichella', 'A Zaidman']",2017,
State of mutation testing at google,Mutation testing assesses test suite efficacy by inserting small faults into programs and measuring the ability of the test suite to detect them. It is widely considered the strongest test criterion in terms of finding the most faults and it subsumes a number of other coverage,"['G Petrović', 'M Ivanković']",2018,Proceedings of the 40th International Conference on Software Engineering: Software Engineering in Practice
Statement frequency coverage: A code coverage criterion for assessing test suite effectiveness,"Context: Software testing is a pivotal activity in the development of high-quality software. As software is evolving through its life cycle, the need for a fault-revealing criterion assessing the effectiveness of the test suite grows. Over the years, researchers have proposed","['A Aghamohammadi', 'SH Mirian-Hosseinabadi']",2021,Information and Software Technology
Statement-oriented mutant reduction strategy for mutation based fault localization,"Mutation Based Fault Localization (MBFL) is a fault localization technique based on mutation analysis, which precisely identifies the location of fault but incurs a high execution cost, since it needs to execute the test suite on a large amount of mutants. Reduction","['Y Liu', 'Z Li', 'L Wang', 'Z Hu', 'R Zhao']",2017,"2017 IEEE International Conference on Software Quality, Reliability and Security (QRS)"
Static analysis of mutant subsumption,"Mutation analysis generates a large set of variants, or mutants, and then demands a test set that distinguishes each variant from the original artifact. It has long been apparent that many mutants contribute little, if anything, to the subsequent test set. Researchers have developed","['B Kurtz', 'P Ammann', 'J Offutt']",2015,"2015 IEEE Eighth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)"
Strengthening inferred specifications using search based testing,"Software specification is an important element of the software development process. However, in most cases the specifications are out-of-date or even missing. One solution for this kind of problem is to use some process that infers the specification automatically. Work","['K Ghani', 'JA Clark']",2008,2008 IEEE International Conference on Software Testing Verification and Validation Workshop
Strong model-based mutation testing,"Powerful verification and validation methods are needed to keep up with the complexity of modern systems. While testing remains the most prevalent verification and validation method, scaling testing to huge and interdependent systems poses a big challenge. We",['A Fellner'],2021,
Structural testing for message‐passing concurrent programs: an extended test model,"Developing high‐quality, error‐free message‐passing concurrent programs is not trivial. Although a number of different primitives with associated semantics are available to assist such development, they often increase the complexity of the testing process. In this paper","['PSL Souza', 'SRS Souza']",2014,Concurrency and Computation: Practice and Experience
Study of integrating random and symbolic testing for object-oriented software,"Testing is currently the main technique adopted by the industry for improving the quality, reliability, and security of software. In order to lower the cost of manual testing, automatic testing techniques have been devised, such as random and symbolic testing, with their","['M Dimjašević', 'F Howar', 'K Luckow']",2018,
Study of trivial compiler equivalence on C++ object-oriented mutation operators,"Trivial Compiler Equivalence (TCE) has been recently proposed as an effective technique to detect equivalences between programs, where two or more programs are equivalent if the compiler produces the same binary code. Mutation testing can greatly","['P Delgado-Pérez', 'S Segura']",2019,Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing
Studying test-driven development and its retainment over a six-month time span,"In this paper, we investigate the effect of TDD, as compared to a non-TDD approach, as well as its retainment (or retention) over a time span of (about) six months. To pursue these objectives, we conducted a (quantitative) longitudinal cohort study with 30 novice","['MT Baldassarre', 'D Caivano', 'D Fucci', 'N Juristo']",2021,Journal of Systems and Software
Subnets generation of program nets and its application to software testing,"Software testing is an important problem to design a large software system and it is difficult to be solved due to its computational complexity. We try to use program nets to approach this problem. As the first step towards solving software testing problem, this paper provides a","['B Wu', 'X Bao', 'N Zhang', 'H Morita', 'M Nakata']",2019,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences"
Subsumption of program entities for efficient coverage and monitoring,"Program entities such as branches, def-use pairs, and call sequences are used in diverse software-development tasks. Reducing a set of entities to a small representative subset through subsumption saves monitoring overhead, focuses the developer's attention, and","['R Santelices', 'S Sinha', 'MJ Harrold']",2006,Proceedings of the 3rd international workshop on Software quality assurance  - SOQUA '06
Supporting controlled experimentation with testing techniques: An infrastructure and its potential impact,"Where the creation, understanding, and assessment of software testing and regression testing techniques are concerned, controlled experimentation is an indispensable research methodology. Obtaining the infrastructure necessary to support such experimentation","['H Do', 'S Elbaum', 'G Rothermel']",2005,Empirical Software Engineering
Supporting test suite evolution through test case adaptation,"Software systems evolve during development and maintenance, and many test cases designed for the early versions of the system become obsolete during the software lifecycle. Repairing test cases that do not compile due to changes in the code under test and","['M Mirzaaghaei', 'F Pastore']",2012,"2012 IEEE Fifth International Conference on Software Testing, Verification and Validation"
Swarm testing,"Swarm testing is a novel and inexpensive way to improve the diversity of test cases generated during random testing. Increased diversity leads to improved coverage and fault detection. In swarm testing, the usual practice of potentially including all features in every","['A Groce', 'C Zhang', 'E Eide', 'Y Chen']",2012,
